id,worker,answer
344,0,0
344,1,0
344,2,1
344,3,1
344,4,1
344,5,0
344,6,0
344,7,1
344,8,1
344,9,1
344,10,0
344,11,1
344,12,1
344,13,0
344,14,0
344,15,0
344,16,0
344,17,1
344,18,1
344,19,1
0,20,0
0,0,0
0,1,1
0,3,1
0,21,1
0,17,0
0,22,0
0,23,0
0,7,1
0,8,1
0,24,0
0,10,0
0,25,0
0,12,1
0,6,1
0,26,0
0,27,0
0,28,0
0,19,0
0,29,0
346,0,1
346,1,1
346,2,0
346,3,1
346,4,1
346,5,0
346,6,0
346,7,1
346,8,1
346,9,0
346,10,0
346,11,0
346,12,1
346,13,0
346,14,0
346,15,0
346,16,0
346,17,0
346,18,0
346,19,0
347,0,0
347,1,0
347,2,0
347,3,1
347,4,1
347,5,0
347,6,1
347,7,1
347,8,0
347,9,0
347,10,0
347,11,0
347,12,1
347,13,0
347,14,1
347,15,0
347,16,1
347,17,0
347,18,1
347,19,0
340,0,0
340,1,0
340,2,1
340,3,1
340,4,1
340,5,0
340,6,1
340,7,1
340,8,1
340,9,1
340,10,0
340,11,1
340,12,1
340,13,0
340,14,1
340,15,1
340,16,0
340,17,0
340,18,1
340,19,1
341,0,1
341,1,0
341,2,1
341,3,1
341,4,1
341,5,0
341,6,1
341,7,0
341,8,0
341,9,1
341,10,1
341,11,0
341,12,0
341,13,1
341,14,0
341,15,1
341,16,1
341,17,1
341,18,0
341,19,1
342,0,0
342,1,0
342,2,0
342,3,1
342,4,1
342,5,1
342,6,1
342,7,1
342,8,1
342,9,0
342,10,0
342,11,0
342,12,0
342,13,0
342,14,1
342,15,0
342,16,0
342,17,0
342,18,1
342,19,0
343,0,1
343,1,0
343,2,1
343,3,1
343,4,1
343,5,0
343,6,1
343,7,0
343,8,0
343,9,0
343,10,1
343,11,1
343,12,1
343,13,1
343,14,1
343,15,0
343,16,1
343,17,0
343,18,0
343,19,1
810,16,0
810,30,0
810,0,1
810,1,0
810,3,1
810,4,1
810,5,0
810,19,0
810,31,0
810,8,1
810,13,0
810,32,1
810,12,1
810,14,1
810,15,0
810,33,0
810,34,0
810,35,0
810,18,0
810,36,0
811,16,0
811,30,0
811,0,1
811,1,0
811,3,1
811,4,1
811,5,0
811,19,0
811,31,0
811,8,1
811,13,0
811,32,0
811,12,1
811,14,1
811,15,1
811,33,0
811,34,1
811,35,0
811,18,1
811,36,1
812,16,0
812,30,1
812,0,0
812,1,0
812,3,1
812,4,1
812,5,0
812,19,1
812,31,0
812,8,0
812,13,0
812,32,1
812,12,0
812,14,1
812,15,1
812,33,1
812,34,1
812,35,1
812,18,0
812,36,1
813,16,0
813,30,0
813,0,1
813,1,0
813,3,1
813,4,1
813,5,1
813,19,0
813,31,0
813,8,0
813,13,1
813,32,1
813,12,1
813,14,1
813,15,0
813,33,0
813,34,0
813,35,0
813,18,1
813,36,0
348,0,0
348,1,1
348,2,0
348,3,1
348,4,1
348,5,0
348,6,1
348,7,0
348,8,1
348,9,0
348,10,0
348,11,0
348,12,0
348,13,0
348,14,0
348,15,0
348,16,0
348,17,0
348,18,0
348,19,0
349,0,1
349,1,0
349,2,1
349,3,1
349,4,1
349,5,0
349,6,0
349,7,0
349,8,0
349,9,0
349,10,0
349,11,0
349,12,1
349,13,0
349,14,1
349,15,0
349,16,1
349,17,0
349,18,1
349,19,0
816,16,0
816,30,0
816,0,0
816,1,0
816,3,1
816,4,0
816,5,0
816,19,0
816,31,0
816,8,1
816,13,0
816,32,1
816,12,0
816,14,0
816,15,0
816,33,0
816,34,0
816,35,0
816,18,0
816,36,0
817,16,1
817,30,1
817,0,1
817,1,1
817,3,1
817,4,1
817,5,0
817,19,1
817,31,0
817,8,1
817,13,0
817,32,0
817,12,1
817,14,1
817,15,1
817,33,1
817,34,1
817,35,1
817,18,1
817,36,1
595,0,1
595,32,1
595,1,1
595,2,0
595,3,1
595,4,1
595,5,0
595,19,1
595,21,1
595,8,0
595,13,0
595,37,1
595,38,1
595,12,1
595,39,1
595,15,1
595,33,1
595,17,1
